ID,Section,HSGPA,UPSGPA,SATM,SATR,SATW,ACT,Sex,Gender,Height,Weight,ShoeSz,Class,HSState,PubPriv,BirthMonth,Handedness,Shower,Work,Study,Exercise,CompLeisure,FinAid,TextAmt,TextPct,TextType,DietPref,Coffee,MacPC,Athlete,States,Siblings,OldestParent,YoungestParent,Shoes,Salary,Major
19111,F -Hieta-aho (2 p.m.),3.76,2.5,430,500,560,21,Female (XX),Female,63,109,6.5,Freshman,Washington,Public,June,Right,20,2,15,5,4,Yes,300,100,Purchased Used,No Preference,Yes,Mac,No,8,2,48,47,14,,UND
19112,E - Price (1 p.m.),3.97,2.42,620,680,680,,Female (XX),Female,63,104,6.5,Freshman,Arizona,Public,June,Right,15,4,14,4,21,Yes,260,100,Purchased Used,Vegan or Vegetarian,Yes,Mac,No,30,1,46,45,35,30000,UND
19113,B - Pickard (8 a.m.),3.7,2.42,,,,27,Female (XX),Female,63,135,7.5,Freshman,Hawaii,Private,October,Right,7,1,16,4,7,Yes,300,100,Purchased Used,Vegan or Vegetarian,No,Mac,No,6,1,53,51,10,10000,Social Science
19114,B - Pickard (8 a.m.),3.8,,,,,29,Female (XX),Female,66,140,7,Freshman,California,Public,October,Left,20,0,6,3,5,Yes,400,97,Purchased Used,Vegan or Vegetarian,Yes,Mac,No,12,3,65,50,7,,UND
19115,H - Paradise (2 p.m.),4,2.8,,,,,Female (XX),Female,62,90,5.5,Freshman,Colorado,Public,May,Left,20,9,10,0,5,Yes,,,,No Preference,No,Mac,No,6,1,52,50,9,,Business
19116,B - Pickard (8 a.m.),3.8,3.83,,,,34,Female (XX),Female,66,140,8.5,Freshman,California,Public,March,Left,5,,15,,,Yes,400,83,Borrowed from a Friend,Other,No,Mac,No,21,1,57,56,12,,UND
19117,H - Paradise (2 p.m.),3.84,3.5,640,580,500,,Male (XY),Male,73,178,12,Freshman,Washington,Public,September,Right,5,2,15,5,10,Yes,160,100,Purchased New,Vegan or Vegetarian,No,Mac,No,14,1,65,50,8,26000,Humanities
19118,G - Rushton (2 p.m.),3.32,2.5,,,,24,Female (XX),Female,63,113,6.5,,Minnesota,Private,August,Right,10,0,30,2,30,No,200,20,Purchased Used,No Preference,No,Mac,No,18,3,64,59,14,25000,UND
19119,C - Gibson (12 noon),4,3.49,,,,30,Female (XX),Female,68,160,9,Junior,Colorado,Private,April,Right,20,0,21,14,9,Yes,200,100,Purchased eBook,Other,Yes,Mac,Yes,38,1,64,51,20,70000,Science
19120,E - Price (1 p.m.),3.5,1.87,,,,21,Female (XX),Female,69,140,11,Freshman,Arizona,Public,October,Right,20,9,30,17,20,Yes,350,100,Purchased Used,Vegan or Vegetarian,No,Mac,Yes,12,3,56,49,5,4000,UND
19121,B - Pickard (8 a.m.),3.8,3.5,570,,,,Female (XX),Female,64,115,7.5,Freshman,Washington,Public,August,Right,15,6,9,0,4,Yes,100,100,Purchased Used,No Preference,Yes,Mac,No,5,1,50,49,15,20000,UND
19122,F -Hieta-aho (2 p.m.),3.87,3.67,,,,26,Female (XX),Female,68,130,8,Freshman,Wisconsin,Public,November,Right,7,0,20,3,10,Yes,200,100,Purchased Used,Vegan or Vegetarian,Yes,Mac,No,20,1,60,48,10,40000,UND
19123,A - Dove (8 a.m.),3.66,3.42,,,,31,Female (XX),Female,70,150,9,Freshman,Tennessee,Private,July,Right,15,10,7,4,7,Yes,300,100,Purchased Used,No Preference,Yes,Mac,No,38,2,51,50,25,50000,Fine Arts 
19124,I - Thatcher (10 a.m.),3.2,2.5,,,,29,Female (XX),Female,66,135,9,Freshman,Colorado,Private,July,Right,20,10,10,8,16,Yes,62,0,Purchased Used,Vegan or Vegetarian,Yes,Mac,No,20,4,64,50,20,20000,Social Science
19125,G - Rushton (2 p.m.),3.98,3.5,,,,33,Female (XX),Female,56,130,7.5,Freshman,Minnesota,Public,June,Right,10,4,10,2,3,Yes,200,100,Purchased Used,Vegan or Vegetarian,Yes,Mac,No,20,3,49,49,5,50000,Business
19126,C - Gibson (12 noon),4,3.81,,,,27,Male (XY),Male,68,220,10.5,Senior,California,Public,June,Right,10,6,30,2,50,Yes,200,95,Borrowed from a Friend,No Preference,No,Mac,No,13,2,45,43,25,0,Science
19127,A - Dove (8 a.m.),3.87,,,,,21,Female (XX),Female,74,190,10,Freshman,Oregon,Public,December,Right,10,0,5,1,4,Yes,350,100,Purchased Used,No Preference,Yes,Mac,No,13,1,56,53,20,10000,Social Science
19128,D - Rushton (12 noon),3.82,3.63,720,740,680,,Female (XX),Female,66,140,8.5,Junior,Massachusetts,Public,January,Right,20,20,14,6,7,Yes,100,100,Borrowed from a Friend,Kosher,Yes,Mac,No,16,2,60,56,20,,Humanities
19129,A - Dove (8 a.m.),3.4,,,,,22,Female (XX),Female,66,120,7,Sophomore,New Mexico,Public,June,Right,6,1,35,7,4,Yes,50,50,Purchased Used,Vegan or Vegetarian,No,Mac,No,25,1,62,58,20,11,UND
19130,G - Rushton (2 p.m.),3.57,,,,,30,Female (XX),Female,69,160,10,Freshman,Wyoming,Public,May,Right,10,1,20,5,10,Yes,,90,Purchased Used,No Preference,Yes,Mac,No,11,1,49,49,5,,UND
19131,H - Paradise (2 p.m.),4,3.7,,,,30,Female (XX),Female,68,145,8.5,Freshman,Texas,Private,December,Right,10,,,,,Yes,,,,Vegan or Vegetarian,No,Mac,No,,1,49,49,6,,Business
19132,G - Rushton (2 p.m.),3.4,3.5,,,,,Male (XY),Male,72,160,12,Freshman,Oregon,Private,September,Right,6,0,4,2,2,Yes,300,100,Rented book,Other,No,Mac,Yes,17,3,72,59,6,60000,UND
19133,B - Pickard (8 a.m.),3.2,3.67,,,,27,Female (XX),Female,61,105,5.5,Freshman,New Mexico,Private,May,Right,10,0,25,6,50,Yes,148,90,Purchased Used,No Preference,Yes,Mac,No,12,1,68,60,20,25000,Business
19134,A - Dove (8 a.m.),3.6,2.8,,,,28,Female (XX),Female,55,174,,Junior,California,Public,April,Right,20,9,10,6,10,Yes,200,100,Purchased Used,No Preference,No,Mac,No,15,3,58,48,15,50000,Humanities
19135,A - Dove (8 a.m.),3.8,3.3,,,,,Female (XX),Female,59,115,6,Junior,Washington,Public,March,Right,20,4,14,10,21,Yes,240,75,Purchased Used,No Preference,No,Windows(PC),No,2,7,63,42,13,30000,Science
19136,I - Thatcher (10 a.m.),3.83,3.37,,,,23,Female (XX),Female,64,120,8,Freshman,Oregon,Private,August,Left,,5,,4,,Yes,,,,Other,Yes,Windows(PC),No,20,4,,,14,,Business
19137,C - Gibson (12 noon),3.3,3.1,,,,,Female (XX),Female,,,8,Sophomore,California,Public,August,Right,,,,,,Yes,300,100,Borrowed from a Friend,Vegan or Vegetarian,Yes,Mac,No,5,0,57,54,,,Social Science
19138,A - Dove (8 a.m.),3.6,2.3,,,,23,Female (XX),Female,58,105,4,Freshman,California,Public,June,Ambidextrous (Both),8,3,15,8,4,Yes,600,100,Other,No Preference,No,Mac,Yes,45,1,56,55,20,10000,Science
19139,E - Price (1 p.m.),3.75,3.69,,,,,Female (XX),Female,66,140,9.5,Freshman,Colorado,Public,September,Right,10,6,12,3,15,Yes,300,25,Purchased Used,No Preference,No,Windows(PC),No,20,2,53,49,15,10000,Social Science
19140,C - Gibson (12 noon),4,3.9,,,,28,Female (XX),Female,64,107,7,Freshman,Missouri,Private,December,Left,20,10,40,1,5,Yes,270,0,Purchased Used,Vegan or Vegetarian,Yes,Windows(PC),No,30,2,58,57,34,40000,Social Science
19141,I - Thatcher (10 a.m.),3.89,3.7,,,,,Female (XX),Female,69,133,8.5,Sophomore,Washington,Private,April,Right,10,0,35,7,7,Yes,150,0,Purchased New,No Preference,No,Mac,No,12,1,59,54,20,,UND
19142,E - Price (1 p.m.),3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19143,G - Rushton (2 p.m.),4,3.84,600,690,690,32,Female (XX),Female,68,140,9,Freshman,Arizona,Other,September,Right,15,9,40,7,6,Yes,99,100,Purchased Used,No Preference,No,Mac,No,21,1,56,56,12,,Social Science
19144,G - Rushton (2 p.m.),4,2.4,550,600,600,24,Female (XX),Female,67,150,10,Freshman,Texas,Public,August,Right,10,15,20,6,20,Yes,400,100,Purchased Used,No Preference,No,Mac,Yes,18,5,49,49,25,50000,UND
19145,A - Dove (8 a.m.),3.86,3.92,680,710,710,,Female (XX),Female,68,140,12,Freshman,Colorado,Public,March,Right,15,0,20,6,3,Yes,130,100,Purchased Used,No Preference,No,Mac,No,21,1,55,53,10,57000,Science
19146,F -Hieta-aho (2 p.m.),4,3.84,540,750,760,,Female (XX),Female,64,112,7.5,Junior,Washington,Public,August,Right,15,8,25,8,4,Yes,500,70,Purchased Used,No Preference,No,Mac,No,6,6,47,45,15,150000,Science
19147,H - Paradise (2 p.m.),3.8,3.3,,,,,Female (XX),Female,68,,9,Freshman,Washington,Public,July,Right,10,9,,,,Yes,212,100,Purchased New,No Preference,No,Mac,No,,2,,,,,Business
19148,G - Rushton (2 p.m.),3.8,2.8,580,610,,,Female (XX),Female,67,130,8,Freshman,California,Public,March,Right,15,9,10,2,15,Yes,50,0,Rented book,No Preference,Yes,Mac,No,7,1,63,63,10,20000,UND
19149,A - Dove (8 a.m.),3.7,3.02,,,,24,Female (XX),Female,64,128,7,Freshman,California,Public,,Right,15,0,30,14,6,No,200,100,Rented book,No Preference,Yes,Mac,Yes,27,2,50,49,12,40000,UND
19150,H - Paradise (2 p.m.),3.98,3.6,,,,32,Female (XX),Female,64,102,6.5,Sophomore,Washington,Public,May,Right,35,10,15,2,7,Yes,280,85,Purchased New,No Preference,No,Windows(PC),No,9,2,59,58,8,50000,Business
19151,H - Paradise (2 p.m.),4,3.75,,,,30,Male (XY),Male,70,165,10,Freshman,Colorado,Public,January,Right,5,,,,,Yes,,,,No Preference,Yes,Mac,No,,1,50,49,,,Business
19152,A - Dove (8 a.m.),4,3.43,,,,29,Female (XX),Female,67,150,9,Junior,Colorado,Public,December,Right,8,20,25,4,8,Yes,200,25,Borrowed from a Friend,No Preference,Yes,Mac,No,14,3,49,45,10,32000,Science
19153,I - Thatcher (10 a.m.),4,3.25,720,660,660,,Female (XX),Female,70,145,10,Freshman,California,Public,June,Left,20,9,11,9,20,Yes,200,100,Purchased Used,No Preference,No,Mac,No,7,2,55,52,5,20000,Science
19154,C - Gibson (12 noon),3.2,3.6,,,,22,Female (XX),Female,60,120,8,Senior,Minnesota,Public,May,Right,15,18,10,10,10,Yes,100,75,Purchased Used,Kosher,No,Windows(PC),No,8,0,64,60,6,30000,Fine Arts 
19155,E - Price (1 p.m.),3.8,3.2,,,,,Male (XY),Male,74,200,13,Freshman,Washington,Public,December,Right,17,20,20,10,25,Yes,100,0,Purchased eBook,No Preference,No,Windows(PC),No,4,2,52,52,4,30000,Business
19156,A - Dove (8 a.m.),4,4,630,650,,,Female (XX),Female,62,130,6,Freshman,California,Public,October,Right,15,9,20,4,40,Yes,150,25,Purchased Used,No Preference,No,Mac,No,3,1,50,50,10,90000,Business
19157,I - Thatcher (10 a.m.),4,3,700,700,,,Male (XY),Male,68,150,10,Freshman,California,Public,March,Right,22,0,7,0,0,Yes,400,0,Other,No Preference,No,Mac,Yes,4,1,60,57,2,60000,UND
19158,A - Dove (8 a.m.),4,3.84,630,620,730,30,Female (XX),Female,67,160,8.5,Senior,Colorado,Public,March,Right,10,1,30,5,3,Yes,200,80,Purchased Used,No Preference,Yes,Windows(PC),No,24,3,51,47,15,40000,Social Science
19159,A - Dove (8 a.m.),4,3.3,,,,24,Female (XX),Female,63,120,7.5,Freshman,Colorado,Public,March,Right,10,1,30,5,10,Yes,90,90,Purchased Used,Other,No,Windows(PC),No,10,2,66,61,15,5000,Social Science
19160,A - Dove (8 a.m.),3.8,3.6,,,,,Female (XX),Female,66,145,8,Sophomore,Oregon,Other,January,Right,7,168,28,5,25,Yes,250,95,Borrowed from a Friend,Vegan or Vegetarian,Yes,Mac,No,8,1,53,51,11,40000,Humanities
19161,H - Paradise (2 p.m.),3.92,3.59,,,,27,Male (XY),Male,69,170,10.5,Freshman,California,Public,July,Right,6,0,20,10,25,Yes,138,100,Purchased New,No Preference,No,Windows(PC),No,7,1,52,49,4,75000,Business
19162,D - Rushton (12 noon),4,,,,,,Female (XX),Female,66,120,8.5,Freshman,California,Private,October,Left,20,9,20,5,14,Yes,,,Purchased Used,Vegan or Vegetarian,Yes,Windows(PC),No,2,2,,,8,,Humanities
19163,G - Rushton (2 p.m.),3.5,3.5,,,,,Female (XX),Female,66,150,8,Freshman,California,Private,December,Right,15,0,18,3,9,Yes,200,100,Purchased Used,Other,Yes,Mac,No,13,3,50,48,13,45000,Science
19164,D - Rushton (12 noon),4,3.84,780,680,,,Female (XX),Female,67,160,9.5,Freshman,California,Private,February,Right,10,15,25,4,20,Yes,407,95,Purchased Used,No Preference,Yes,Mac,No,6,2,70,53,10,30000,UND
19165,B - Pickard (8 a.m.),3.5,,430,,390,,Male (XY),Male,72,260,13,Freshman,Washington,Public,January,Right,20,,35,21,19,Yes,200,55,Purchased Used,No Preference,No,Windows(PC),No,3,3,43,40,10,20000,UND
19166,F -Hieta-aho (2 p.m.),3.2,2.9,,,,28,Female (XX),Female,63,124,7.5,Freshman,California,Public,January,Right,20,8,21,3,10,Yes,200,100,Purchased Used,No Preference,Yes,Mac,No,15,2,60,48,7,50000,UND
19167,D - Rushton (12 noon),3.5,,,,,28,Female (XX),Female,66,150,8,Freshman,Minnesota,Public,July,Right,10,0,15,10,15,Yes,300,100,Purchased Used,No Preference,Yes,Mac,Yes,14,1,59,50,25,,Social Science
19168,I - Thatcher (10 a.m.),3.86,,630,690,,,Female (XX),Female,64,120,7,Freshman,Washington,Public,August,Right,10,0,15,8,10,Yes,250,100,Purchased Used,No Preference,Yes,Mac,No,12,1,60,55,12,60000,Humanities
19169,C - Gibson (12 noon),,3.2,,,,,Female (XX),Female,68,190,10,Junior,,Public,May,Left,20,20,15,6,10,Yes,240,100,Purchased Used,No Preference,Yes,Windows(PC),No,6,2,79,67,22,45000,Science
19170,H - Paradise (2 p.m.),3.85,2.44,,,,26,Male (XY),Male,75,160,12.5,Freshman,Washington,Public,December,Right,6,,26,40,6,Yes,36,100,Purchased New,No Preference,Yes,Windows(PC),Yes,14,1,52,51,14,75000,Business
19171,H - Paradise (2 p.m.),3.7,2.89,,,,26,Female (XX),Female,65,130,7,Freshman,Washington,Private,September,Right,15,9,10,4,15,Yes,180,100,Purchased New,Other,No,Windows(PC),No,10,3,53,50,30,50000,Business
19172,D - Rushton (12 noon),3.4,3.6,,,,28,Female (XX),Female,65,145,9,Junior,Mississippi,Private,February,Right,20,0,28,4,14,Yes,11,0,Purchased Used,Vegan or Vegetarian,Yes,Mac,No,23,1,60,60,35,90,Science
19173,H - Paradise (2 p.m.),,,600,600,600,32,Female (XX),Female,69,130,8,Freshman,Illinois,Public,February,Left,25,6,10,4,16,Yes,50,100,Purchased New,Vegan or Vegetarian,No,Mac,No,15,1,54,51,12,,Business
19174,H - Paradise (2 p.m.),3.7,2.5,,,,28,Male (XY),Male,72,135,10,Freshman,Minnesota,Public,May,Right,6,8,5,3,35,Yes,327,100,Purchased New,Other,Yes,Mac,No,25,1,50,48,10,50000,Business
19175,H - Paradise (2 p.m.),3.9,3.8,660,640,640,27,Female (XX),Female,61,100,6,Freshman,Hawaii,Private,July,Right,20,9,28,20,10,Yes,70,17,Purchased New,No Preference,No,Mac,Yes,15,1,,,10,,Business
19176,H - Paradise (2 p.m.),3.89,3.75,600,690,690,,Female (XX),Female,66,180,8.5,Freshman,California,Public,August,Right,15,15,50,5,17,Yes,173,78,Other,Other,Yes,Mac,No,9,13,42,42,17,50000,Business
19177,E - Price (1 p.m.),3.9,3.7,,,,,Female (XX),Female,60,115,7,Freshman,Hawaii,Private,June,Left,7,0,7,3,5,Yes,168,100,Purchased Used,No Preference,No,Mac,No,5,1,59,50,15,,Social Science
19178,H - Paradise (2 p.m.),3.9,3.25,,,,32,Male (XY),Male,73,195,11.5,Freshman,California,Public,February,Right,20,1,20,60,4,Yes,240,100,Purchased Used,No Preference,Yes,Mac,Yes,9,0,66,60,5,60000,Business
19179,A - Dove (8 a.m.),4,2.9,,,,,Female (XX),Female,63,135,7,Sophomore,California,Public,January,Right,15,,35,40,5,Yes,300,20,Rented book,No Preference,Yes,Mac,Yes,20,1,49,49,30,90000,Science
19180,A - Dove (8 a.m.),3.6,,700,670,,,Female (XX),Female,65,114,7.5,Freshman,California,Public,August,Right,20,0,21,22,10,Yes,300,100,Purchased Used,No Preference,Yes,Mac,Yes,15,2,52,51,15,28000,Social Science
19181,H - Paradise (2 p.m.),3.8,3.7,,,,,Female (XX),Female,72,168,11,Freshman,Oregon,Public,January,Left,20,0,,12,,Yes,225,100,Purchased New,No Preference,Yes,Mac,Yes,6,2,57,57,6,,Fine Arts 
19182,B - Pickard (8 a.m.),4,3.1,,,,,Male (XY),Male,72,195,11,Freshman,California,Public,December,Right,10,0,8,8,6,Yes,250,100,Purchased Used,No Preference,No,Windows(PC),Yes,5,1,55,54,5,45000,Science
19183,H - Paradise (2 p.m.),3.6,3.1,720,780,799,31,Female (XX),Male,69,165,95,Sophomore,Washington,Public,August,Right,7,0,25,10,8,Yes,25,100,Purchased New,No Preference,No,Windows(PC),No,20,3,59,49,7,120000,Science
19184,G - Rushton (2 p.m.),,3.4,,,,,Female (XX),Female,63,120,7.5,Freshman,California,Public,July,Right,30,,20,10,20,No,,50,Borrowed from a Friend,No Preference,Yes,Mac,No,4,2,,,3,,UND
19185,A - Dove (8 a.m.),4,3.67,,,,25,Female (XX),Female,64,122,7.5,Freshman,Colorado,Public,December,Right,7,0,16,14,14,Yes,139,100,Borrowed from a Friend,No Preference,No,Mac,Yes,16,2,61,61,12,,Social Science
19186,A - Dove (8 a.m.),4,3.8,,,,31,Female (XX),Female,65,112,6.5,Freshman,Colorado,Public,June,Right,20,25,20,14,10,Yes,200,80,Rented book,Vegan or Vegetarian,No,Mac,No,12,1,53,51,12,35000,Social Science
19187,E - Price (1 p.m.),3.8,3.17,560,,580,,Female (XX),Female,64,112,8.5,Freshman,California,Public,September,Right,25,,10,15,20,Yes,284,100,Purchased Used,Vegan or Vegetarian,No,Windows(PC),Yes,15,2,58,55,9,50000,Humanities
19188,E - Price (1 p.m.),3,2.9,,,,26,Male (XY),Male,72,192,11.5,Junior,California,Public,April,Right,5,4,8,3,5,No,170,80,Purchased Used,No Preference,Yes,Mac,No,19,3,72,61,3,13,Science
19189,H - Paradise (2 p.m.),3.7,2.75,,,,24,Male (XY),Male,78,215,13,Freshman,Washington,Private,August,Ambidextrous (Both),7,0,5,20,10,Yes,150,80,Other,No Preference,No,Windows(PC),Yes,7,0,57,52,20,80000,Business
19190,I - Thatcher (10 a.m.),3.72,3.07,570,650,600,26,Male (XY),Male,71,160,10,Freshman,Washington,Public,August,Left,10,0,15,10,35,Yes,110,100,Purchased eBook,No Preference,No,Windows(PC),No,10,1,49,47,5,20000,UND
19191,H - Paradise (2 p.m.),4,3.5,530,670,750,,Female (XX),Female,62,115,7,Freshman,California,Private,August,Right,14,4,14,13,7,Yes,175,100,Purchased Used,No Preference,Yes,Mac,Yes,6,4,48,47,6,30000,Business
