height,subpart,part,frequency,choir
62,S1,S,784,Reed Chorus
61,S2,S,784,Reed Chorus
66,S2,S,784,Reed Chorus
65,S1,S,784,Reed Chorus
66,S1,S,784,Reed Chorus
64,S1,S,784,Reed Chorus
64,S1,S,784,Reed Chorus
65,S1,S,784,Reed Chorus
61,S1,S,784,Reed Chorus
67.5,S2,S,784,Reed Chorus
64,S2,S,784,Reed Chorus
64,S2,S,784,Reed Chorus
65,S2,S,784,Reed Chorus
67,S2,S,784,Reed Chorus
61,S1,S,784,Reed Chorus
62,S1,S,784,Reed Chorus
65.5,S2,S,784,Reed Chorus
68,A1,A,523,Reed Chorus
62,A1,A,523,Reed Chorus
64,A1,A,523,Reed Chorus
65.5,A1,A,523,Reed Chorus
69,A1,A,523,Reed Chorus
65,A2,A,523,Reed Chorus
64,A1,A,523,Reed Chorus
62,A2,A,523,Reed Chorus
68,A2,A,523,Reed Chorus
68,A2,A,523,Reed Chorus
62,A2,A,523,Reed Chorus
63,A2,A,523,Reed Chorus
66,A2,A,523,Reed Chorus
64,A1,A,523,Reed Chorus
66,A1,A,523,Reed Chorus
64,A2,A,523,Reed Chorus
67,A2,A,523,Reed Chorus
66.5,A1,A,523,Reed Chorus
63.5,A2,A,523,Reed Chorus
71,T2,T,392,Reed Chorus
73,T2,T,392,Reed Chorus
65,T2,T,392,Reed Chorus
70,T1,T,392,Reed Chorus
72.75,T1,T,392,Reed Chorus
69,T1,T,392,Reed Chorus
68,T2,T,392,Reed Chorus
71,T2,T,392,Reed Chorus
71,T1,T,392,Reed Chorus
68,T2,T,392,Reed Chorus
72.5,B1,B,262,Reed Chorus
72,B1,B,262,Reed Chorus
71,B1,B,262,Reed Chorus
69,B1,B,262,Reed Chorus
72,B1,B,262,Reed Chorus
71,B1,B,262,Reed Chorus
72,B1,B,262,Reed Chorus
68,B1,B,262,Reed Chorus
74,B1,B,262,Reed Chorus
72,B2,B,262,Reed Chorus
69,B2,B,262,Reed Chorus
72,B2,B,262,Reed Chorus
71,B1,B,262,Reed Chorus
72,B1,B,262,Reed Chorus
71.75,B1,B,262,Reed Chorus
60.5,S1,S,784,Portland Symphonic Choir
65,S1,S,784,Portland Symphonic Choir
60,S1,S,784,Portland Symphonic Choir
60,S1,S,784,Portland Symphonic Choir
62,S1,S,784,Portland Symphonic Choir
62,S1,S,784,Portland Symphonic Choir
64,S1,S,784,Portland Symphonic Choir
64.5,S1,S,784,Portland Symphonic Choir
64.5,S1,S,784,Portland Symphonic Choir
65,S1,S,784,Portland Symphonic Choir
65,S1,S,784,Portland Symphonic Choir
65,S1,S,784,Portland Symphonic Choir
66,S1,S,784,Portland Symphonic Choir
67,S1,S,784,Portland Symphonic Choir
67,S1,S,784,Portland Symphonic Choir
68,S1,S,784,Portland Symphonic Choir
68,S1,S,784,Portland Symphonic Choir
69,S1,S,784,Portland Symphonic Choir
65,S2,S,784,Portland Symphonic Choir
68,S2,S,784,Portland Symphonic Choir
60,S2,S,784,Portland Symphonic Choir
62,S2,S,784,Portland Symphonic Choir
62.5,S2,S,784,Portland Symphonic Choir
63,S2,S,784,Portland Symphonic Choir
65,S2,S,784,Portland Symphonic Choir
65,S2,S,784,Portland Symphonic Choir
65,S2,S,784,Portland Symphonic Choir
65,S2,S,784,Portland Symphonic Choir
66,S2,S,784,Portland Symphonic Choir
66,S2,S,784,Portland Symphonic Choir
66.5,S2,S,784,Portland Symphonic Choir
67.5,S2,S,784,Portland Symphonic Choir
67.5,S2,S,784,Portland Symphonic Choir
68,S2,S,784,Portland Symphonic Choir
68,S2,S,784,Portland Symphonic Choir
68.5,S2,S,784,Portland Symphonic Choir
63,A1,A,523,Portland Symphonic Choir
64,A1,A,523,Portland Symphonic Choir
67,A1,A,523,Portland Symphonic Choir
68,A1,A,523,Portland Symphonic Choir
69,A1,A,523,Portland Symphonic Choir
70,A1,A,523,Portland Symphonic Choir
71,A1,A,523,Portland Symphonic Choir
63,A1,A,523,Portland Symphonic Choir
63,A1,A,523,Portland Symphonic Choir
64,A1,A,523,Portland Symphonic Choir
64,A1,A,523,Portland Symphonic Choir
64,A1,A,523,Portland Symphonic Choir
66,A1,A,523,Portland Symphonic Choir
66,A1,A,523,Portland Symphonic Choir
66.5,A1,A,523,Portland Symphonic Choir
67,A1,A,523,Portland Symphonic Choir
67,A1,A,523,Portland Symphonic Choir
67,A1,A,523,Portland Symphonic Choir
68,A1,A,523,Portland Symphonic Choir
66,A2,A,523,Portland Symphonic Choir
70,A2,A,523,Portland Symphonic Choir
70,A2,A,523,Portland Symphonic Choir
71,A2,A,523,Portland Symphonic Choir
62,A2,A,523,Portland Symphonic Choir
62,A2,A,523,Portland Symphonic Choir
62.5,A2,A,523,Portland Symphonic Choir
63,A2,A,523,Portland Symphonic Choir
65,A2,A,523,Portland Symphonic Choir
65,A2,A,523,Portland Symphonic Choir
66,A2,A,523,Portland Symphonic Choir
67,A2,A,523,Portland Symphonic Choir
69,A2,A,523,Portland Symphonic Choir
67,T1,T,392,Portland Symphonic Choir
71,T1,T,392,Portland Symphonic Choir
71,T1,T,392,Portland Symphonic Choir
63,T1,T,392,Portland Symphonic Choir
65,T1,T,392,Portland Symphonic Choir
66.5,T1,T,392,Portland Symphonic Choir
74,T1,T,392,Portland Symphonic Choir
72,T1,T,392,Portland Symphonic Choir
72,T1,T,392,Portland Symphonic Choir
73,T1,T,392,Portland Symphonic Choir
74,T1,T,392,Portland Symphonic Choir
75,T1,T,392,Portland Symphonic Choir
69,T2,T,392,Portland Symphonic Choir
69,T2,T,392,Portland Symphonic Choir
70,T2,T,392,Portland Symphonic Choir
70.5,T2,T,392,Portland Symphonic Choir
66,T2,T,392,Portland Symphonic Choir
66,T2,T,392,Portland Symphonic Choir
67,T2,T,392,Portland Symphonic Choir
67,T2,T,392,Portland Symphonic Choir
68,T2,T,392,Portland Symphonic Choir
73,T2,T,392,Portland Symphonic Choir
75,T2,T,392,Portland Symphonic Choir
75,T2,T,392,Portland Symphonic Choir
70,B1,B,262,Portland Symphonic Choir
71,B1,B,262,Portland Symphonic Choir
70,B1,B,262,Portland Symphonic Choir
70,B1,B,262,Portland Symphonic Choir
70,B1,B,262,Portland Symphonic Choir
71,B1,B,262,Portland Symphonic Choir
66,B1,B,262,Portland Symphonic Choir
66.5,B1,B,262,Portland Symphonic Choir
67.5,B1,B,262,Portland Symphonic Choir
69,B1,B,262,Portland Symphonic Choir
69,B1,B,262,Portland Symphonic Choir
69,B1,B,262,Portland Symphonic Choir
69,B1,B,262,Portland Symphonic Choir
72,B1,B,262,Portland Symphonic Choir
72,B1,B,262,Portland Symphonic Choir
72,B1,B,262,Portland Symphonic Choir
72,B1,B,262,Portland Symphonic Choir
73,B1,B,262,Portland Symphonic Choir
74,B1,B,262,Portland Symphonic Choir
74,B1,B,262,Portland Symphonic Choir
74,B1,B,262,Portland Symphonic Choir
75,B1,B,262,Portland Symphonic Choir
76,B1,B,262,Portland Symphonic Choir
71,B2,B,262,Portland Symphonic Choir
70,B2,B,262,Portland Symphonic Choir
71,B2,B,262,Portland Symphonic Choir
68,B2,B,262,Portland Symphonic Choir
68,B2,B,262,Portland Symphonic Choir
69,B2,B,262,Portland Symphonic Choir
72,B2,B,262,Portland Symphonic Choir
72,B2,B,262,Portland Symphonic Choir
73,B2,B,262,Portland Symphonic Choir
74,B2,B,262,Portland Symphonic Choir
76,B2,B,262,Portland Symphonic Choir
76,B2,B,262,Portland Symphonic Choir
76,B2,B,262,Portland Symphonic Choir
77,B2,B,262,Portland Symphonic Choir
